EstablishmentID,InspectionDate,InspectionID,EstTypeDesc,premise_name,premise_adr1_num,premise_adr1_street,premise_city,premise_state,premise_zip,InspectionType,score,InspTypeSpecificViolID,ViolationDesc,critical_yn,Insp_Viol_Comments,rpt_area_id,ObjectId
101210,2017/09/28 04:00:00+00,1330145,FOOD SERVICE,EAGLE FOOD & BEER HALL,1314,BARDSTOWN RD,LOUISVILLE,KY,40204,REGULAR,84,11,"HANDS WASHED AND CLEAN,HYGIENIC PRACTICES PREVENTING CONTAMINATION FROM HANDS",Yes,IMPROPER STORAGE OF PERSONAL DRINKS.,605,1
34955,2018/02/23 05:00:00+00,1360487,FOOD SERVICE,BEARNO'S BY THE BRIDGE,133,W MAIN ST,LOUISVILLE,KY,40202,REGULAR,65,33,"TOXIC ITEMS PROPERLY STORED, LABELED, USED",Yes,Toxic items not properly stored. (cleaning spray)  ,605,2
91975,2018/04/23 04:00:00+00,1373797,FOOD SERVICE,RIVIERA MAYA,8104,NATIONAL TURNPIKE,LOUISVILLE,KY,40214,REGULAR,78,3,POTENTIALLY HAZARDOUS FOOD-SAFE TEMP.,Yes,"Potentially hazardous food requiring refrigeration not rapidly cooled to an internal temperature of 41 degrees Fahrenheit or below. (soup) (discarded)  Potentially hazardous food not maintained at 41 degrees Fahrenheit or below at all times except during necessary periods of preparation and service. (cooler holding meat, and cheeses at 49-51 degrees F) (corrected)  ",605,3
91975,2018/04/23 04:00:00+00,1373797,FOOD SERVICE,RIVIERA MAYA,8104,NATIONAL TURNPIKE,LOUISVILLE,KY,40214,REGULAR,78,6,Potentially hazardous food properly thawed,No,Improper thawing methods being used for potentially hazardous foods.  ,605,4
91975,2018/04/23 04:00:00+00,1373797,FOOD SERVICE,RIVIERA MAYA,8104,NATIONAL TURNPIKE,LOUISVILLE,KY,40214,REGULAR,78,33,"TOXIC ITEMS PROPERLY STORED, LABELED, USED",Yes,"Toxic items not properly stored. (next to food preperation, food storage and single service storage)  ",605,5
91975,2018/04/23 04:00:00+00,1373797,FOOD SERVICE,RIVIERA MAYA,8104,NATIONAL TURNPIKE,LOUISVILLE,KY,40214,REGULAR,78,8,"Food Protection - storage, prep, display, service, transp.",No,Food not stored at least 6`` off the floor.  Food not protected during storage. (raw eggs stored over produce)  ,605,6
91975,2018/04/23 04:00:00+00,1373797,FOOD SERVICE,RIVIERA MAYA,8104,NATIONAL TURNPIKE,LOUISVILLE,KY,40214,REGULAR,78,11,"HANDS WASHED AND CLEAN,HYGIENIC PRACTICES PREVENTING CONTAMINATION FROM HANDS",Yes,Improper storage of employee food/drink(s). (inside of walk-in freezer) (corrected)  ,605,7
91975,2018/04/23 04:00:00+00,1373797,FOOD SERVICE,RIVIERA MAYA,8104,NATIONAL TURNPIKE,LOUISVILLE,KY,40214,REGULAR,78,9,Handling of food (ice) minimized. Dispensing utensils properly stored during use.,No,Utensil handle in contact with food.  ,605,8
101210,2017/09/28 04:00:00+00,1330145,FOOD SERVICE,EAGLE FOOD & BEER HALL,1314,BARDSTOWN RD,LOUISVILLE,KY,40204,REGULAR,84,18,"Wiping cloths clean, use restricted",No,SANITIZER SOLUTION NOT AT PROPER CONCENTRATION.,605,9
91975,2018/04/23 04:00:00+00,1373797,FOOD SERVICE,RIVIERA MAYA,8104,NATIONAL TURNPIKE,LOUISVILLE,KY,40214,REGULAR,78,34,"Premises main, free of litter, misc. articles, cleaning/maint. equip. properly stored. Authorized personnel rooms clean, lockers provided, located, used",No,"Employee personal items improperly stored. (purse, phone)  ",605,10
87083,2018/01/11 05:00:00+00,1350785,FOOD SERVICE,YUM 2.036 MAIN ST FRANKS,1,ARENA PLAZA,LOUISVILLE,KY,40202,REGULAR,92,1,"SOURCE, RECORDS, CONDITION, SPOILAGE, ADULTERATED",Yes,"Unwholesome spoiled fruits, vegetables or other foods.  Not clearly marked to indicate the date or day by which food shall be consumed, sold or discarded on the premises.    Corrected discarded  ",605,11
