EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,OBJECTID
29956,1684470,REGULAR,CVS #6211,,3721 LEXINGTON RD,,LOUISVILLE,KY,40207,PRE-PACKAGED RETAIL,2022/07/06 00:00:00,100,,CVS #6211,,0
29967,1699737,REGULAR,NEIGHBORHOOD FOOD MART,,542 LAMPTON ST,,LOUISVILLE,KY,40203,SUPERMARKET WITH PROCESSING,2022/09/07 00:00:00,97,,NEIGHBORHOOD FOOD MART,,1
29979,1624769,REGULAR,CIRCLE K #4700075,,1630 ARTHUR ST,,LOUISVILLE,KY,40208,"RETAIL-FOOD  10,000 SQ FT OR LESS",2021/09/23 00:00:00,95,A,CIRCLE K #4700075,,2
29979,1624770,REGULAR,CIRCLE K #4700075,,1630 ARTHUR ST,,LOUISVILLE,KY,40208,"RETAIL-FOOD  10,000 SQ FT OR LESS",2021/09/23 00:00:00,95,,CIRCLE K #4700075,,3
29979,1657125,REGULAR,CIRCLE K #4700075,,1630 ARTHUR ST,,LOUISVILLE,KY,40208,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/03/08 00:00:00,96,A,CIRCLE K #4700075,,4
29979,1657126,REGULAR,CIRCLE K #4700075,,1630 ARTHUR ST,,LOUISVILLE,KY,40208,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/03/08 00:00:00,99,,CIRCLE K #4700075,,5
29979,1698679,REGULAR,CIRCLE K #4700075,,1630 ARTHUR ST,,LOUISVILLE,KY,40208,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/09/01 00:00:00,97,A,CIRCLE K #4700075,,6
29979,1698680,REGULAR,CIRCLE K #4700075,,1630 ARTHUR ST,,LOUISVILLE,KY,40208,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/09/01 00:00:00,98,,CIRCLE K #4700075,,7
30043,1637804,REGULAR,F&Y SUPERMARKET,,3801 W MARKET ST,,LOUISVILLE,KY,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",2021/11/22 00:00:00,94,A,F&Y SUPERMARKET,,8
30043,1637805,REGULAR,F&Y SUPERMARKET,,3801 W MARKET ST,,LOUISVILLE,KY,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",2021/11/22 00:00:00,95,,F&Y SUPERMARKET,,9
30043,1700824,FOLLOWUP,F&Y SUPERMARKET,,3801 W MARKET ST,,LOUISVILLE,KY,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/09/12 00:00:00,98,,F&Y SUPERMARKET,,10
30043,1678623,SURVEY,F&Y SUPERMARKET,,3801 W MARKET ST,,LOUISVILLE,KY,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/05/26 00:00:00,,,F&Y SUPERMARKET,,11
30043,1698630,REGULAR,F&Y SUPERMARKET,,3801 W MARKET ST,,LOUISVILLE,KY,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/09/01 00:00:00,94,A,F&Y SUPERMARKET,,12
30043,1698631,REGULAR,F&Y SUPERMARKET,,3801 W MARKET ST,,LOUISVILLE,KY,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/09/01 00:00:00,95,,F&Y SUPERMARKET,,13
30075,1673914,REGULAR,CVS #6199,,3130 PORTLAND AVE,,LOUISVILLE,KY,40212,PRE-PACKAGED RETAIL,2022/05/23 00:00:00,97,,CVS #6199,,14
30075,1678618,SURVEY,CVS #6199,,3130 PORTLAND AVE,,LOUISVILLE,KY,40212,PRE-PACKAGED RETAIL,2022/05/27 00:00:00,,,CVS #6199,,15
30085,1665227,COMPLAINT,SPEEDWAY #9709,,4239 POPLAR LEVEL RD,,LOUISVILLE,KY,40213,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/03/28 00:00:00,,,SPEEDWAY #9709,,16
30085,1665230,FOLLOWUP,SPEEDWAY #9709,,4239 POPLAR LEVEL RD,,LOUISVILLE,KY,40213,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/04/08 00:00:00,,,SPEEDWAY #9709,,17
30085,1661247,REGULAR,SPEEDWAY #9709,,4239 POPLAR LEVEL RD,,LOUISVILLE,KY,40213,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/03/28 00:00:00,93,A,SPEEDWAY #9709,,18
30085,1661248,REGULAR,SPEEDWAY #9709,,4239 POPLAR LEVEL RD,,LOUISVILLE,KY,40213,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/03/28 00:00:00,95,,SPEEDWAY #9709,,19
30108,1646209,REGULAR,SPEEDWAY #9515,,2720 TAYLORSVILLE RD,,LOUISVILLE,KY,40205,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/01/12 00:00:00,97,A,SPEEDWAY #9515,,20
30108,1646210,REGULAR,SPEEDWAY #9515,,2720 TAYLORSVILLE RD,,LOUISVILLE,KY,40205,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/01/12 00:00:00,98,,SPEEDWAY #9515,,21
30108,1684741,REGULAR,SPEEDWAY #9515,,2720 TAYLORSVILLE RD,,LOUISVILLE,KY,40205,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/07/06 00:00:00,99,A,SPEEDWAY #9515,,22
30108,1684742,REGULAR,SPEEDWAY #9515,,2720 TAYLORSVILLE RD,,LOUISVILLE,KY,40205,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/07/06 00:00:00,100,,SPEEDWAY #9515,,23
30154,1660530,REGULAR,CIRCLE K #4700117,,9619 WHIPPS MILL RD,,LOUISVILLE,KY,40222,PRE-PACKAGED RETAIL,2022/03/23 00:00:00,100,,CIRCLE K #4700117,,24
30162,1642844,REGULAR,CORNER MARKET,,358 N 26TH ST,,LOUISVILLE,KY,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",2021/12/16 00:00:00,97,A,CORNER MARKET,,25
30162,1642845,REGULAR,CORNER MARKET,,358 N 26TH ST,,LOUISVILLE,KY,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",2021/12/16 00:00:00,100,,CORNER MARKET,,26
30162,1678617,SURVEY,CORNER MARKET,,358 N 26TH ST,,LOUISVILLE,KY,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/05/27 00:00:00,,,CORNER MARKET,,27
30162,1686382,REGULAR,CORNER MARKET,,358 N 26TH ST,,LOUISVILLE,KY,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/07/14 00:00:00,95,A,CORNER MARKET,,28
30162,1686383,REGULAR,CORNER MARKET,,358 N 26TH ST,,LOUISVILLE,KY,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/07/14 00:00:00,91,,CORNER MARKET,,29
30248,1626018,REGULAR,NEWCOMER ACADEMY,,3741 PULLIAM DR,,LOUISVILLE,KY,40218,SCHOOL CAFETERIA OR FOOD SERVICE,2021/09/24 00:00:00,100,A,NEWCOMER ACADEMY,,30
30248,1655368,REGULAR,NEWCOMER ACADEMY,,3741 PULLIAM DR,,LOUISVILLE,KY,40218,SCHOOL CAFETERIA OR FOOD SERVICE,2022/03/01 00:00:00,100,A,NEWCOMER ACADEMY,,31
30248,1697515,REGULAR,NEWCOMER ACADEMY,,3741 PULLIAM DR,,LOUISVILLE,KY,40218,SCHOOL CAFETERIA OR FOOD SERVICE,2022/08/29 00:00:00,100,A,NEWCOMER ACADEMY,,32
30264,1636302,REGULAR,SPEEDWAY #5043,,4417 DIXIE HWY,,LOUISVILLE,KY,40216,"RETAIL-FOOD  10,000 SQ FT OR LESS",2021/11/16 00:00:00,97,A,SPEEDWAY #5043,,33
30264,1636303,REGULAR,SPEEDWAY #5043,,4417 DIXIE HWY,,LOUISVILLE,KY,40216,"RETAIL-FOOD  10,000 SQ FT OR LESS",2021/11/16 00:00:00,94,,SPEEDWAY #5043,,34
30264,1692958,REGULAR,SPEEDWAY #5043,,4417 DIXIE HWY,,LOUISVILLE,KY,40216,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/08/09 00:00:00,98,A,SPEEDWAY #5043,,35
30264,1692959,REGULAR,SPEEDWAY #5043,,4417 DIXIE HWY,,LOUISVILLE,KY,40216,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/08/09 00:00:00,97,,SPEEDWAY #5043,,36
30337,1664450,REGULAR,PIC PAC,,3110 TAYLOR BLVD,,LOUISVILLE,KY,40215,SUPERMARKET WITH PROCESSING,2022/04/11 00:00:00,92,,PIC PAC,,37
30374,1673635,REGULAR,SUGAR AND SPICE,,5613 BARDSTOWN RD,,LOUISVILLE,KY,40291,PRE-PACKAGED RETAIL,2022/05/18 00:00:00,99,,SUGAR AND SPICE,,38
30394,1643591,REGULAR,SAM'S CLUB #8276,,6622 PRESTON HWY,,LOUISVILLE,KY,40219,"RETAIL-FOOD  10,000 SQ FT OR LESS",2021/12/21 00:00:00,98,A,SAM'S CLUB #8276,,39
